Supplier_Name,Country_of_Origin,City,Product_Description,HS_Code_Chapter_85,Estimated_Lead_Time_Days
Siemens Components GmbH,Germany,Munich,Industrial control PCBs and relays,8536,21
Bavaria Semiconductor AG,Germany,Dresden,Power semiconductors and IGBT modules,8541,28
Foxlink Precision,Taiwan,Hsinchu,Connector assemblies and cable harnesses,8544,18
TSMC Advanced Logic,Taiwan,Hsinchu,Logic ICs 5nm process,8542,35
Shenzhen BrightWave,China,Shenzhen,LED display modules,8531,14
Suzhou ElectroMax,China,Suzhou,Lithium-ion battery packs,8507,20
Samsung Electro-Mechanics,South Korea,Suwon,MLCC capacitors and camera modules,8532,16
Kyoto Micro Devices,Japan,Kyoto,Crystal oscillators and sensors,8542,22
Hanoi Circuit Works,Vietnam,Hanoi,Consumer electronics sub-assemblies,8543,17
Penang Assembly Services,Malaysia,Penang,IC packaging and test services,8542,19
Guadalajara ElectroPartes,Mexico,Guadalajara,Wire harnesses and power supplies,8504,12
Austin Chip Fab,United States,Austin,Analog ICs and microcontrollers,8542,25
Eindhoven Photonics BV,Netherlands,Eindhoven,Optical sensors and laser diodes,8541,24
Catania Power Systems,Italy,Catania,Silicon carbide power devices,8541,26
Bangalore MicroTech,India,Bangalore,Embedded boards and IoT modules,8543,23
